episode_key,source,label,semantic_quality,target,prediction,reason,scorable,correct
manifest::research_ball_r1_pickup_precision_1b::rolling-pickup-stress-r01,manifest::research_ball_r1_pickup_precision_1b,rolling_pickup,WARNING,NOT_PICKUP,UNKNOWN,unsupported_rolling_start_pickup,0,
manifest::research_ball_r1_pickup_precision_1e_step::track-step-fast-r08-replacement,manifest::research_ball_r1_pickup_precision_1e_step,track_step_drop,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1a::handling-slide-r10,manifest::research_ball_r1_pickup_precision_1a,handling,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1e_rail::putt-rail-light-r01,manifest::research_ball_r1_pickup_precision_1e_rail,putt_rail_collision,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1e_step::track-step-slow-r01,manifest::research_ball_r1_pickup_precision_1e_step,track_step_drop,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1b::rolling-pickup-normal-r07,manifest::research_ball_r1_pickup_precision_1b,rolling_pickup,WARNING,NOT_PICKUP,UNKNOWN,unsupported_rolling_start_pickup,0,
manifest::research_ball_r1_pickup_precision_1e_rail::putt-rail-firm-r10,manifest::research_ball_r1_pickup_precision_1e_rail,putt_rail_collision,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1b::rolling-pickup-normal-r08,manifest::research_ball_r1_pickup_precision_1b,rolling_pickup,WARNING,NOT_PICKUP,UNKNOWN,unsupported_rolling_start_pickup,0,
manifest::research_ball_r1_pickup_precision_1c_drop::pickup-drop-r07,manifest::research_ball_r1_pickup_precision_1c_drop,pickup_drop,CLEAN_OPERATOR_LABEL,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1d_gentle::putt-gentle-varied-r08,manifest::research_ball_r1_pickup_precision_1d_gentle,putt_gentle,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1a::handling-slide-r07,manifest::research_ball_r1_pickup_precision_1a,handling,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c_drop::pickup-drop-r01,manifest::research_ball_r1_pickup_precision_1c_drop,pickup_drop,CLEAN_OPERATOR_LABEL,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c::pickup-carry-slow-r07,manifest::research_ball_r1_pickup_precision_1c,pickup_carry,WARNING,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c::pickup-carry-fast-r08,manifest::research_ball_r1_pickup_precision_1c,pickup_carry,WARNING,PICKUP,PICKUP,frozen_v0_rule,1,1
