ambiguous_contacts,archival_quality,authority,bmi_accel_near_rail_samples,bmi_gyro_near_rail_samples,category,context_bytes,count_incomplete,episode_id,event_truth,go_us,interpretation,label,manifest,operator,pickup_candidates,quality_breaks,raw_issues,samples,session,sha256,source,stroke_candidates,surface,unknown_onsets
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.7-tilted-003-frozen,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,1024,unspecified,011031529f6a2fc39fbdb118bf205f5114963be2f7e9a3b027abee113ce900a2,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.7-tilted-003-frozen.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.8-test-research-frozen,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,1024,unspecified,b549c453d8bc502ae3d519a9ff6e4bd2c67f890fe4b5106408dc7c40c2e65b4d,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.8-test-research-frozen.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.9-battery-swd-frozen,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,1024,unspecified,bfcaf5395038e50a352c9e8d8f014049eca3b62185eff467148c5fde92a57ebe,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.9-battery-swd-frozen.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.9-test-research-frozen,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,1024,unspecified,1653ebbf7122aa143f61f36baa3f6d4f4ab1732e5ac5bccc15e8b0379b18f594,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.9-test-research-frozen.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,True,tag-stationary-window-v0.1.3,UNAVAILABLE,,exploratory_only,,,unspecified,0,87,,88,unspecified,53016db9142465794b66c85464bcde22c40b59ece70f197ec5a53f52a961a742,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-window-v0.1.3.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-window-v0.1.4-test,UNAVAILABLE,,exploratory_only,,,unspecified,0,0,,145,unspecified,8f32f35bb9e7b272bf7f55f74af53c4872d4749a230069a762965521423119cb,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-window-v0.1.4-test.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-window-v0.1.5-test,UNAVAILABLE,,exploratory_only,,,unspecified,0,0,,154,unspecified,9c973df0963068810ac77059a92f2e8775a88b65f2198a416c6bd02824466bfc,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-window-v0.1.5-test.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-wake-v0.1.11-battery-auto-frozen,UNAVAILABLE,,exploratory_only,handling,,unspecified,0,0,,1024,unspecified,17012a737eb38d79107cc725a43d9f51394bd0ac1b6afe6787e978d8687f60df,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-wake-v0.1.11-battery-auto-frozen.jsonl,0,unspecified,0
5,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,True,tag-wake-v0.1.9-test-auto-frozen,UNAVAILABLE,,exploratory_only,handling,,unspecified,1,0,,792,unspecified,9a907a105a770f6c417ed9c792480141c625d599191cdf749dd73d028d50a7b7,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-wake-v0.1.9-test-auto-frozen.jsonl,0,unspecified,0
0,preliminary_fixture,False,0,0,04_roller_preliminary,1256,False,roller-r0-stationary-o1-r01,UNAVAILABLE,253749504,exploratory_only,stationary,,unspecified,0,0,,551,unspecified,8ac165975711cd6beb502c15cb2f66d322d346556ce6ab66c7a2480f9069eab4,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/04_roller_preliminary/roller-r0-stationary-o1-r01.jsonl,0,unspecified,0
0,preliminary_fixture,False,0,0,04_roller_preliminary,1256,False,roller-r1-120rpm-3s-live-r01,UNAVAILABLE,,exploratory_only,roller_120rpm_live,,unspecified,0,0,,64,unspecified,2079493230bb1891ba0a6971624c117282555ff7553a4f680bfb4bd93136b40a,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/04_roller_preliminary/roller-r1-120rpm-3s-live-r01.jsonl,0,unspecified,0
0,preliminary_fixture,False,0,0,04_roller_preliminary,1256,False,roller-r1-120rpm-3s-r01,UNAVAILABLE,27659469504,exploratory_only,roller_120rpm,,unspecified,0,0,,601,unspecified,147493213292e0c2e63c72c596d566b39f2c4db7924de37b6cbbdbf3cca4fb62,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/04_roller_preliminary/roller-r1-120rpm-3s-r01.jsonl,0,unspecified,0
1,preliminary_fixture,False,0,0,04_roller_preliminary,1256,True,roller-r1-120rpm-3s-sync-r01,UNAVAILABLE,27870569504,exploratory_only,roller_120rpm,,unspecified,0,0,,450,unspecified,f5d78799be0b27ec7f26a69443768af4c9adfaf502990597b3fd5bd4018d5ed4,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/04_roller_preliminary/roller-r1-120rpm-3s-sync-r01.jsonl,0,unspecified,1
1,preliminary_fixture,False,0,0,04_roller_preliminary,1256,True,roller-r1-120rpm-3s-sync-r02,UNAVAILABLE,27977369536,exploratory_only,roller_120rpm,,unspecified,0,0,,450,unspecified,4a073d8bb8846dbaf6bd55264fbb09744a8f7016a5b6e3a3ef67e0b662a85550,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/04_roller_preliminary/roller-r1-120rpm-3s-sync-r02.jsonl,0,unspecified,1
0,preliminary_fixture,False,0,0,04_roller_preliminary,1256,False,roller-r1-30rpm-10s-r01,UNAVAILABLE,787789504,exploratory_only,roller_30rpm,,unspecified,0,0,,850,unspecified,8b53b2b7e887d94071471dd1215c1a4493fdd89b0716bbfe9e4210c0688e155f,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/04_roller_preliminary/roller-r1-30rpm-10s-r01.jsonl,0,unspecified,0
0,preliminary_fixture,False,0,0,04_roller_preliminary,1256,False,roller-r1-30rpm-5s-r02,UNAVAILABLE,961229504,exploratory_only,roller_30rpm_diagnostic,,unspecified,0,0,,651,unspecified,a59b4edabcd4eb9da7d8bfc91ac2f7346eac1041084e39f3bdb11da9c5c5c5a3,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/04_roller_preliminary/roller-r1-30rpm-5s-r02.jsonl,0,unspecified,0
0,preliminary_fixture,False,0,0,04_roller_preliminary,1256,False,roller-r1-60rpm-5s-r01,UNAVAILABLE,1074529536,exploratory_only,roller_60rpm_diagnostic,,unspecified,0,0,,651,unspecified,70659dd96b946fd07ec164dec6afbce71e1d656f0d0f234c69a29f2a8b9fd81c,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/04_roller_preliminary/roller-r1-60rpm-5s-r01.jsonl,0,unspecified,0
0,preliminary_fixture,False,0,0,04_roller_preliminary,1256,False,roller-r1-60rpm-5s-r02,UNAVAILABLE,27319229632,exploratory_only,roller_60rpm_retest,,unspecified,0,0,,650,unspecified,291a17f8fbb8e43172b2e3b738b1ccc9b4d120594d2dd2b05df7684648117421,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/04_roller_preliminary/roller-r1-60rpm-5s-r02.jsonl,0,unspecified,0
0,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n030-r01,UNAVAILABLE,28354213504,exploratory_only,roller_-30rpm,,unspecified,0,0,,451,unspecified,1c7b2820065abd308404abd51eaeabead25a3a2c63f6f4b945cb81ccb56027d6,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n030-r01.jsonl,0,unspecified,1
3,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n030-r02,UNAVAILABLE,28790768864,exploratory_only,roller_-30rpm,,unspecified,0,0,,450,unspecified,e26361a38a869573e0ba1cc55db1aee9a9f94c40896546bd4c67c668ac59a6f5,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n030-r02.jsonl,0,unspecified,1
1,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n030-r03,UNAVAILABLE,29198088544,exploratory_only,roller_-30rpm,,unspecified,0,0,,450,unspecified,d56d0f48c40ad47e7ef917ca76dd06c9bc778b660edfdb12a573288bf7ca33b7,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n030-r03.jsonl,0,unspecified,1
2,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n060-r01,UNAVAILABLE,28417333536,exploratory_only,roller_-60rpm,,unspecified,0,0,,450,unspecified,828a417caab6c4c2a3408fadedb5166a37a72577ec6501dbc48511818223583c,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n060-r01.jsonl,0,unspecified,1
1,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n060-r02,UNAVAILABLE,28851708512,exploratory_only,roller_-60rpm,,unspecified,0,0,,450,unspecified,aaa55be4e0863dfd3b759bfd09c266273062537aabf86fccc5cc64a6c9fb5a79,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n060-r02.jsonl,0,unspecified,1
3,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n060-r03,UNAVAILABLE,29137148576,exploratory_only,roller_-60rpm,,unspecified,0,0,,450,unspecified,a8b81d9ef525b790114c5da2ff22d29e68da9600064fec2268fd463a809a0f04,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n060-r03.jsonl,0,unspecified,1
2,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n090-r01,UNAVAILABLE,28488353504,exploratory_only,roller_-90rpm,,unspecified,0,0,,450,unspecified,d7dcf7161335c0442d524c5fa73529b3454b3678b7314780ddd4eac6cec1284a,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n090-r01.jsonl,0,unspecified,1
1,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n090-r02,UNAVAILABLE,28914708640,exploratory_only,roller_-90rpm,,unspecified,0,0,,450,unspecified,54cecae3f799519cbe59b82381f0d56d99972fdb5069d3eb9229a23462955417,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n090-r02.jsonl,0,unspecified,1
1,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n090-r03,UNAVAILABLE,29075988544,exploratory_only,roller_-90rpm,,unspecified,0,0,,450,unspecified,2272a933399baeb2d68f2430076e26e463c598617c0cad4c66797a8bf69e31bd,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n090-r03.jsonl,0,unspecified,1
0,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n120-r01,UNAVAILABLE,28551493504,exploratory_only,roller_-120rpm,,unspecified,0,0,,451,unspecified,63f2b7bd431e3e79169bdcd086d3b103442a06bdaf1e3b1ecb0cc18e166bd777,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n120-r01.jsonl,0,unspecified,1
0,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n120-r02,UNAVAILABLE,28976708544,exploratory_only,roller_-120rpm,,unspecified,0,0,,450,unspecified,2f1d3329bea4877c454251bb163f098f5296d57f7180fccb9452c21f965e51f2,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n120-r02.jsonl,0,unspecified,1
0,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-n120-r03,UNAVAILABLE,29007948544,exploratory_only,roller_-120rpm,,unspecified,0,0,,451,unspecified,196de3e2dcd320337d626080b2b0dadc13fb1fd4ce1b0f8bb5e1bc216888aad6,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-n120-r03.jsonl,0,unspecified,1
2,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-p030-r01,UNAVAILABLE,28320953536,exploratory_only,roller_30rpm,,unspecified,0,0,,451,unspecified,78ee892c37a450714eb2b3d77beabf7d8bcf419546fb85ed97d1f95efc0ffffd,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-p030-r01.jsonl,0,unspecified,1
1,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-p030-r02,UNAVAILABLE,28759468512,exploratory_only,roller_30rpm,,unspecified,0,0,,451,unspecified,616ed4266c7c03cf2db4a6327ffec5cccf55ebf7705e6ee7b952e8269b429e4a,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-p030-r02.jsonl,0,unspecified,1
1,usable_fixture,False,0,0,05_roller_official,1256,True,roller-matrix-o1-p030-r03,UNAVAILABLE,29230368544,exploratory_only,roller_30rpm,,unspecified,0,0,,451,unspecified,2aab6fab37abee25cdfb26404771edce8992448b61b69f8ce81c3e2497522daa,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/05_roller_official/roller-matrix-o1-p030-r03.jsonl,0,unspecified,1
